,0,1
20,3D6iiz9rsoy2PvTJ0Q8OBH,"['Brenda Lee', '1965', 'Too Many Rivers', {'danceability': 0.621, 'energy': 0.293, 'key': 5, 'loudness': -13.313, 'mode': 1, 'speechiness': 0.029, 'acousticness': 0.652, 'instrumentalness': 4.13e-05, 'liveness': 0.131, 'valence': 0.555, 'tempo': 97.917, 'type': 'audio_features', 'id': '3D6iiz9rsoy2PvTJ0Q8OBH', 'uri': 'spotify:track:3D6iiz9rsoy2PvTJ0Q8OBH', 'track_href': 'https://api.spotify.com/v1/tracks/3D6iiz9rsoy2PvTJ0Q8OBH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3D6iiz9rsoy2PvTJ0Q8OBH', 'duration_ms': 169267, 'time_signature': 4}]"
21,1XunTmhOcj3xwh4b8P3isX,"['Elvis Presley', '1960', ""It's Now or Never"", {'danceability': 0.643, 'energy': 0.491, 'key': 4, 'loudness': -9.312, 'mode': 1, 'speechiness': 0.0344, 'acousticness': 0.642, 'instrumentalness': 0.00972, 'liveness': 0.286, 'valence': 0.753, 'tempo': 126.399, 'type': 'audio_features', 'id': '1XunTmhOcj3xwh4b8P3isX', 'uri': 'spotify:track:1XunTmhOcj3xwh4b8P3isX', 'track_href': 'https://api.spotify.com/v1/tracks/1XunTmhOcj3xwh4b8P3isX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1XunTmhOcj3xwh4b8P3isX', 'duration_ms': 194600, 'time_signature': 4}]"
22,39zODpVtRvghMyfNjZ3BVK,"['Elvis Presley', '1960', 'Stuck on You', {'danceability': 0.647, 'energy': 0.513, 'key': 7, 'loudness': -12.372, 'mode': 1, 'speechiness': 0.0421, 'acousticness': 0.758, 'instrumentalness': 8.64e-06, 'liveness': 0.108, 'valence': 0.955, 'tempo': 131.641, 'type': 'audio_features', 'id': '39zODpVtRvghMyfNjZ3BVK', 'uri': 'spotify:track:39zODpVtRvghMyfNjZ3BVK', 'track_href': 'https://api.spotify.com/v1/tracks/39zODpVtRvghMyfNjZ3BVK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/39zODpVtRvghMyfNjZ3BVK', 'duration_ms': 139640, 'time_signature': 4}]"
23,5jRnmQJAwBbtikNcvYbp3B,"['Elvis Presley', '1961', 'Little Sister', {'danceability': 0.602, 'energy': 0.619, 'key': 9, 'loudness': -11.751, 'mode': 1, 'speechiness': 0.0768, 'acousticness': 0.434, 'instrumentalness': 0, 'liveness': 0.364, 'valence': 0.902, 'tempo': 139.6, 'type': 'audio_features', 'id': '5jRnmQJAwBbtikNcvYbp3B', 'uri': 'spotify:track:5jRnmQJAwBbtikNcvYbp3B', 'track_href': 'https://api.spotify.com/v1/tracks/5jRnmQJAwBbtikNcvYbp3B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5jRnmQJAwBbtikNcvYbp3B', 'duration_ms': 151387, 'time_signature': 4}]"
24,366wRPrx2airjcCRkxgoS2,"['Elvis Presley', '1961', 'Surrender', {'danceability': 0.38, 'energy': 0.638, 'key': 3, 'loudness': -9.647, 'mode': 0, 'speechiness': 0.0504, 'acousticness': 0.75, 'instrumentalness': 0, 'liveness': 0.258, 'valence': 0.749, 'tempo': 79.125, 'type': 'audio_features', 'id': '366wRPrx2airjcCRkxgoS2', 'uri': 'spotify:track:366wRPrx2airjcCRkxgoS2', 'track_href': 'https://api.spotify.com/v1/tracks/366wRPrx2airjcCRkxgoS2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/366wRPrx2airjcCRkxgoS2', 'duration_ms': 114200, 'time_signature': 4}]"
25,4qbLOU1T7xgTH87eUSkvJ1,"['Elvis Presley', '1961', ""(Marie's the Name) His Latest Flame"", {'danceability': 0.661, 'energy': 0.917, 'key': 4, 'loudness': -6.329, 'mode': 0, 'speechiness': 0.0375, 'acousticness': 0.568, 'instrumentalness': 0.00202, 'liveness': 0.134, 'valence': 0.893, 'tempo': 105.289, 'type': 'audio_features', 'id': '4qbLOU1T7xgTH87eUSkvJ1', 'uri': 'spotify:track:4qbLOU1T7xgTH87eUSkvJ1', 'track_href': 'https://api.spotify.com/v1/tracks/4qbLOU1T7xgTH87eUSkvJ1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4qbLOU1T7xgTH87eUSkvJ1', 'duration_ms': 127093, 'time_signature': 4}]"
26,6vXZs9rEQF7Nd6O8Ue7NrT,"['Elvis Presley', '1961', 'Are You Lonesome Tonight?', {'danceability': 0.355, 'energy': 0.0922, 'key': 7, 'loudness': -17.747, 'mode': 1, 'speechiness': 0.0515, 'acousticness': 0.918, 'instrumentalness': 0.000702, 'liveness': 0.106, 'valence': 0.191, 'tempo': 65.952, 'type': 'audio_features', 'id': '6vXZs9rEQF7Nd6O8Ue7NrT', 'uri': 'spotify:track:6vXZs9rEQF7Nd6O8Ue7NrT', 'track_href': 'https://api.spotify.com/v1/tracks/6vXZs9rEQF7Nd6O8Ue7NrT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6vXZs9rEQF7Nd6O8Ue7NrT', 'duration_ms': 187027, 'time_signature': 3}]"
27,19gotedXtqeE8dWju6WURW,"['Elvis Presley', '1962', 'Good Luck Charm', {'danceability': 0.618, 'energy': 0.467, 'key': 2, 'loudness': -13.166, 'mode': 1, 'speechiness': 0.0336, 'acousticness': 0.56, 'instrumentalness': 1.05e-05, 'liveness': 0.5, 'valence': 0.904, 'tempo': 121.646, 'type': 'audio_features', 'id': '19gotedXtqeE8dWju6WURW', 'uri': 'spotify:track:19gotedXtqeE8dWju6WURW', 'track_href': 'https://api.spotify.com/v1/tracks/19gotedXtqeE8dWju6WURW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/19gotedXtqeE8dWju6WURW', 'duration_ms': 145080, 'time_signature': 4}]"
28,3D7eXUMYjPiaBxWj2VXNpU,"['Elvis Presley', '1962', ""Can't Help Falling in Love"", {'danceability': 0.5, 'energy': 0.428, 'key': 0, 'loudness': -5.916, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.506, 'instrumentalness': 0, 'liveness': 0.129, 'valence': 0.18, 'tempo': 110.925, 'type': 'audio_features', 'id': '3D7eXUMYjPiaBxWj2VXNpU', 'uri': 'spotify:track:3D7eXUMYjPiaBxWj2VXNpU', 'track_href': 'https://api.spotify.com/v1/tracks/3D7eXUMYjPiaBxWj2VXNpU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3D7eXUMYjPiaBxWj2VXNpU', 'duration_ms': 168747, 'time_signature': 1}]"
29,0D1pEisM3QkiacGXJe5dmd,"['Elvis Presley', '1963', ""(You're the) Devil in Disguise"", {'danceability': 0.481, 'energy': 0.733, 'key': 5, 'loudness': -7.633, 'mode': 1, 'speechiness': 0.165, 'acousticness': 0.575, 'instrumentalness': 1.18e-05, 'liveness': 0.108, 'valence': 0.874, 'tempo': 122.909, 'type': 'audio_features', 'id': '0D1pEisM3QkiacGXJe5dmd', 'uri': 'spotify:track:0D1pEisM3QkiacGXJe5dmd', 'track_href': 'https://api.spotify.com/v1/tracks/0D1pEisM3QkiacGXJe5dmd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0D1pEisM3QkiacGXJe5dmd', 'duration_ms': 140427, 'time_signature': 4}]"
